,Ecole,  Durée d'habilitation CTI ,  Moyenne au bac des intégrés ,  Nombre d'élèves par enseignant ,  Part d'enseignants-chercheurs ,  Pourcentage de diplômés poursuivant en thèse ,  Nombre de doctorants (y compris cotutelles) ,  Nombre d'enseignants HDR ,  Part d'élèves en alternance ,  Nombre total d'alternants ,  Durée des stages en entreprise* ,  Politique de chaires industrielles ,  Forums entreprises (+ de 250 salariés) ,  Forums entreprises (réseau PME) ,  Nombre d'anciens sur LinkedIn ,  Pourcentage d'étudiants étrangers ,  Niveau d'anglais exigé ,  Deuxième langue étrangère ,  Durée minimale à l'étranger (hors apprentissage) ,  Durée minimale à l'étranger pour les apprentis ,  Diplômés ayant passé plus d'un semestre à l'étranger en échange académique ,  Diplômés ayant passé plus d'un semestre à l'étranger en stage ,  Élèves par accord de double diplôme international ,  Pourcentage de double diplômés internationaux ,  Réputation internationale ,  Salaire à la sortie ,  Diplômés en poste à l'étranger ,"  Industrie automobile, aéronautique, navale et ferroviaire ","  BTP, construction ",  Énergie ,"  Institutions financières, banque, assurance ",  Industrie des technologies de l'information ,  Technologie de l'information (services) ,  Industrie chimique ou pharmaceutique ,  Industrie agroalimentaire ,"  Agriculture, sylviculture, pêche ",  Transports ,"  Fonction publique, enseignement, recherche ","  Sociétés de conseil, bureaux d’études ",  Autres secteurs industriels ,  Autres secteurs non industriels ,  Cycle prépa intégrée - Nombre d'intégrés à bac ,  Cycle ingénieur - Nombre d'intégrés issus de prépa intégrée ou d'une prépa commune sans distinction géographique ,  Cycle ingénieur - Nombre d'intégrés issus de CPGE ,  Cycle ingénieur - Nombre d'intégrés issus d'admissions parallèles ,  Part d'intégrés via les admissions parallèles ,  Nombre d'intégrés issus de BTS et ATS ,  Moyenne au bac des intégrés issus de BTS et ATS ,  Nombre d'intégrés issus de DUT ,  Moyenne au bac des intégrés issus de DUT ,  Nombre d'intégrés issus de l'université ,  Moyenne au bac des intégrés issus de l'université ,  Proportion de bacheliers S ,  Proportion de bacheliers STI2D ,  Proportion autres bacheliers ,  Nombre de bacheliers ES ,  Nombre de bacheliers L ,  Nombre de bacheliers STL ,  Nombre de bacheliers STAV ,  Nombre d'intégrés issus d'autres bacs ,  Ouverture à de nouveaux publics ,  Frais de scolarité par an ,  Boursiers nationaux ,  Présence sur Parcoursup ,  Part d'étudiantes ,  Villes d'implantation de l'école ,  Élèves rémunérés pendant leurs études ,  Statut de l'école ,  Ministère de tutelle ,  Spécialités proposées ,  Taille des promos en cycle ingénieur ,  Budget BDE et associations par élève ,  Nombre de disciplines sportives 
0,  École Polytechnique - Palaiseau ,Maximale,"17,93","5,86","86,70%","32,77%",423,240,"0,00%",0,56 semaines,Excellente,110,79,39871,"23,47%",TOEIC : 890,Obligatoire pour les élèves ingénieurs et validé par une certification externe,3 mois,,"38,01%","32,77%","4,6","32,58%",Shanghai : 301-400 (comue )|QS : 61 (Nom propre )|THE : 87 (Nom propre )|Webometrics : 18 (Nom propre )|Classement Shanghai Thématique,plus de 40000 €,"28,29%","9,00%","2,00%","8,00%","14,50%","31,00%","2,00%","3,00%","0,00%","0,50%","3,00%","2,50%","16,00%","7,00%","1,50%",Pas de prépa intégrée,Pas de prépa intégrée,395,30,"7,06%",0,NC,0,NC,30,"17,8",100%,"0,00%",0%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,Pas d'autres bacs,Moyenne,0,"0,00%",Non,"17,97%",Palaiseau ,898,Public,Ministère des Armées (tutelle indirecte via la DGA),"Ingénierie généraliste, génie physique et sciences de l’ingénieur ; bio-ingénierie, agroalimentaire et génie biomédical ; chimie, biochimie et biologie moléculaire ; génie civil ; énergie ; génie de l'environnement ; génie électrique et électronique ; mathématiques ; génie mécanique ; informatique ; ingénierie des systèmes ; ingénieur manager ; logiciel ; systèmes d'information",545,150,16
0,  Télécom Paris ,Maximale,"17,22","3,98","92,30%","18,37%",211,91,"0,00%",0,28 semaines,Excellente,122,68,17162,"31,55%",TOEFL ITP : 564 ; TOEFL IbT : 85 ; TOEIC : 870,Obligatoire pour les élèves ingénieurs et conditionnant l’obtention du diplôme,3 mois,,"4,63%","11,58%","4,8","36,68%",Shanghai : 301-401 (ComUE )|THE : 201-250 (Nom propre )|Webometrics : 155 (Nom propre )|Classement Shanghai Thématique,plus de 40000 €,"33,72%","6,00%","0,00%","0,00%","13,00%","26,00%","22,00%","0,00%","0,00%","0,00%","0,00%","15,00%","9,00%","0,00%","9,00%",Pas de prépa intégrée,Pas de prépa intégrée,145,116,"44,44%",0,NC,17,"15,2",23,"16,1",96%,"4,00%",0%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,Pas d'autres bacs,Moyenne,2650,"21,80%",Non,"19,07%","Palaiseau, Sophia-Antipolis",0,Public,Ministère de l’Économie et des Finances,Ingénierie informatique,243,198,12
0,  CentraleSupélec ,Maximale,"17,67","11,13","82,20%","9,7%",384,176,"5,10%",141,29 semaines,Excellente,176,84,49046,"19,92%",IELTS : C1+,Obligatoire pour les élèves ingénieurs et conditionnant l’obtention du diplôme,6 mois,6 mois,"0,59%","24,34%","6,1","18,17%",Shanghai : 14 (Univ )|QS : 305 (ComUE )|THE : 501-600 (Nom propre )|Webometrics : 35 (Nom propre )|Classement Shanghai Thématique,plus de 40000 €,"19,4%","9,27%","1,77%","9,92%","15,23%","9,27%","16,78%","2,87%","1,10%","0,22%","2,21%","1,99%","9,71%","8,16%","11,48%",Pas de prépa intégrée,Pas de prépa intégrée,793,160,"16,79%",0,NC,8,15,1,"16,8",99%,"1,00%",0%,1,Pas de bac L,Pas de bac STL,Pas de bac STAV,Pas d'autres bacs,Forte,3500,"21,70%",Non,"22,13%","Gif-sur-Yvette, Rennes, Metz",0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation et Ministère de l'Economie et des Finances",Généraliste,1146,15,27
0,  École centrale - Nantes ,Maximale,"16,69","9,8","88,30%","9,72%",229,86,"17,60%",215,49 semaines,Excellente,140,70,13994,"23,72%",TOEIC : 850,Obligatoire pour les élèves ingénieurs et conditionnant l’obtention du diplôme,6 mois,3 mois,"2,02%","85,14%","4,6","53,45%",THE : 401-500 (Nom propre )|Webometrics : 86 (Nom propre )|Classement Shanghai Thématique,36500-40000 €,"22,22%","4,10%","2,10%","5,50%","6,90%","2,10%","21,20%","2,10%","0,70%","0,00%","2,10%","3,50%","36,30%","6,90%","6,50%",Pas de prépa intégrée,Pas de prépa intégrée,241,105,"30,35%",18,"13,1",54,"14,5",15,"15,7",97%,"3,00%",0%,1,Pas de bac L,Pas de bac STL,Pas de bac STAV,Pas d'autres bacs,Forte,2500,"26,00%",Non,"24,09%",Nantes,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Génie civil ; généraliste, génie physique et sciences de l'ingénieur ; génie mécanique",533,56,26
0,  École des ponts ParisTech - Marne-la-vallée ,Maximale,"17,89","5,26","82,20%","12,14%",461,108,"0,00%",0,33 semaines,Excellente,137,59,14850,"28,09%",TOEIC : 785,Obligatoire et conditionnant l'obtention du diplôme,2 mois,,"15,14%","43,82%",2,"8,76%",QS : 242 (Nom propre )|THE : 251-300 (Nom propre )|Webometrics : 101 (Nom propre )|Classement Shanghai Thématique,plus de 40000 €,"28,13%","0,00%","30,00%","4,00%","14,00%","1,33%","13,33%","0,00%","0,00%","0,00%","3,33%","4,00%","8,00%","22,00%","0,00%",Pas de prépa intégrée,Pas de prépa intégrée,194,2,"1,00%",0,NC,0,NC,2,18,98%,"0,00%",2%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,4,Moyenne,3090,"0,00%",Non,"28,63%",Marne la Vallée ,0,Public,Ministère de la Transition Ecologique et Solidaire ,Génie civil ; aménagement urbain ; transport ; génie mécanique ; économie ; informatique ; mathématiques appliquées,305,104,14
0,  École des mines ParisTech ,Maximale,"17,76","3,69","100,00%","18,75%",383,132,"7,80%",54,32 semaines,Très bonne,144,75,15597,"10,87%",TOEFL : 100 ; IELTS : 7,Obligatoire pour les élèves ingénieurs et validé par une certification externe,6 mois,2 mois,"43,31%","64,17%",1,"8,27%",Shanghai : 36 (Univ )|QS : 52 (Univ )|THE : 46 (Univ )|Webometrics : 154 (Nom propre )|Classement Shanghai Thématique,plus de 40000 €,"17,52%","2,01%","1,51%","10,05%","3,02%","5,53%","4,52%","2,51%","0,00%","0,00%","3,02%","3,52%","10,05%","1,50%","52,76%",Pas de prépa intégrée,Pas de prépa intégrée,0,17,"100,00%",0,NC,10,NC,0,NC,NC,NC,NC,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,Pas d'autres bacs,Forte,3500,"20,20%",Non,"26,21%","Paris, Fontainebleau, Sophia Antipolis",0,Public,Ministère de l'Économie et des Finances,"Ingénierie électromécanique ; généraliste, génie physique et sciences de l'ingénieur ; ingénierie de l'environnement",261,NC,24
0,  IMT Atlantique ,Maximale,"16,75","4,59","94,30%","6,35%",273,113,"28,90%",278,31 semaines,Excellente,167,80,13935,"20,64%","TOEFL : 570 ; IELTS : 6,5",Obligatoire pour les élèves ingénieurs et conditionnant l’obtention du diplôme,6 mois,2 mois,"1,32%","3,95%","2,6","18,88%",THE : 351-400 (Nom propre )|Webometrics : 50 (Nom propre )|Classement Shanghai Thématique,plus de 40000 €,"10,51%","4,00%","1,00%","7,30%","8,30%","10,00%","35,50%","2,00%","1,00%","0,00%","2,00%","1,50%","16,00%","4,30%","7,10%",Pas de prépa intégrée,Pas de prépa intégrée,261,99,"27,50%",0,NC,75,"14,9",21,"15,5",97%,"2,00%",1%,2,Pas de bac L,1,Pas de bac STAV,Pas d'autres bacs,Forte,"2616,666667","27,00%",Non,"20,56%","Nantes, Brest, Rennes",1400,Public,Ministère industrie et des communications électroniques,"Généraliste, génie physique et sciences de l'ingénieur ; génie industriel ; génie logiciel ; ingénierie informatique ; ingénierie des systèmes d'information",404,95,35
0,  École centrale - Lyon ,Maximale,"17,39","7,47","86,40%","9,43%",266,59,"7,70%",86,37 semaines,Très bonne,98,30,15117,"15,34%",TOEFL : 590,Obligatoire,6 mois,2 mois,"18,32%","1,53%","5,8","33,33%",THE : 801-1000 (Nom propre )|Webometrics : 59 (Nom propre )|Classement Shanghai Thématique,36500-40000 €,"16,52%","12,10%","4,80%","15,80%","4,80%","4,80%","4,80%","3,00%","2,40%","0,00%","2,40%","3,00%","24,80%","11,50%","5,40%",Pas de prépa intégrée,Pas de prépa intégrée,334,107,"24,26%",0,NC,0,NC,25,"16,4",99%,"1,00%",0%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,Pas d'autres bacs,Forte,2500,"18,70%",Non,"22,68%",Écully ,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Généraliste, génie physique et sciences de l'ingénieur",441,36,28
0,  ENSTA Paris ,Maximale,"17,67","8,23","95,60%","20,65%",137,142,"3,40%",18,36 semaines,Très bonne,130,74,6516,"28,61%",TOEIC : 850,Obligatoire et conditionnant l'obtention du diplôme,3 mois,3 mois,"11,83%","22,58%","5,8","29,57%",Shanghai : 301-401 (ComUE )|Webometrics : 94 (Nom propre )|Classement Shanghai Thématique,plus de 40000 €,"20,61%","14,63%","3,66%","17,07%","6,10%","26,83%","0,00%","1,22%","0,00%","0,00%","0,00%","1,22%","15,85%","6,10%","7,32%",Pas de prépa intégrée,Pas de prépa intégrée,185,34,"16,00%",0,NC,0,NC,10,"16,1",98%,"2,00%",0%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,Pas d'autres bacs,Forte,2650,"34,25%",Non,"27,40%",Palaiseau ,0,Public,Ministère des Armées (tutelle indirecte via la DGA),"Généraliste, génie physique et sciences de l'ingénieur ; ingénierie numérique",247,84,18
0,  INSA Lyon ,Maximale,"17,41","6,5","77,60%","7,54%",524,210,"29,30%",835,28 semaines,Excellente,149,54,44142,"20,13%",TOEIC : 785,Optionnel,3 mois,2 mois,"14,21%","3,08%","5,6","10,81%",QS : 541-550 (Nom propre )|THE : 601-800 (Nom propre )|Webometrics : 29 (Nom propre )|Classement Shanghai Thématique,32500-36500 €,"13,93%","9,58%","12,40%","9,42%","1,09%","4,71%","21,66%","5,97%","1,41%","0,31%","3,14%","2,04%","0,00%","18,52%","9,74%",781,835,83,138,"13,00%",1,15,105,"15,5",3,18,81%,"3,00%",16%,Pas de bac ES,Pas de bac L,6,Pas de bac STAV,174,Forte,601,"29,30%",Oui,"37,47%","Villeurbanne, Oyonnax",0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Ingénierie aéronautique et spatiale ; génie biologique ; génie civil ; ingénierie électrique et de l'électronique ; génie environnemental ; génie industriel ; ingénierie des systèmes d'information ; matériaux, métallurgie et ingénierie des polymères ; ingénierie de construction ; ingénierie éléctromécanique ; biochimie et biotechnologies ; bioinformatique et modélisation ; génie mécanique ; ingénierie des systèmes",1192,53,34
